botdetectionids,botscore,botscoresrc,bottags,clientcountry,clientip,clientrequesthost,clientrequestmethod,clientrequestpath,clientrequesturi,date,edgeendtimestamp,edgeresponsestatus,edgestarttimestamp,originresponsestatus,rayid
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:20:16Z,200,2026-04-03T13:20:15Z,200,9e685ea0a8e75ad7
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/vpn/servers,/api/vpn/servers,2026-04-03,2026-04-03T13:20:15Z,200,2026-04-03T13:20:15Z,200,9e685e9e5d12993e
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/auth/me,/api/auth/me,2026-04-03,2026-04-03T13:20:20Z,200,2026-04-03T13:20:20Z,200,9e685ebf0ec65c98
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/auth/me,/api/auth/me,2026-04-03,2026-04-03T13:20:16Z,200,2026-04-03T13:20:15Z,200,9e685ea14f175c98
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/vpn/status,/api/vpn/status?device_id=3d78acc6-fdbf-41cd-98f7-646671a21e94,2026-04-03,2026-04-03T13:20:16Z,200,2026-04-03T13:20:15Z,200,9e685ea14f4e9758
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/vpn/devices,/api/vpn/devices,2026-04-03,2026-04-03T13:20:23Z,200,2026-04-03T13:20:22Z,200,9e685ecd9afff351
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/auth/me,/api/auth/me,2026-04-03,2026-04-03T13:20:32Z,200,2026-04-03T13:20:32Z,200,9e685f09dd56a455
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:20:49Z,200,2026-04-03T13:20:49Z,200,9e685f72e8dec026
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:19:44Z,200,2026-04-03T13:19:43Z,200,9e685dd8dec45b8e
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:19:45Z,200,2026-04-03T13:19:45Z,200,9e685de35c5a5b43
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/vpn/servers,/api/vpn/servers,2026-04-03,2026-04-03T13:20:10Z,200,2026-04-03T13:20:09Z,200,9e685e78b8eb993e
null,null,null,null,ru,176.15.220.74,api.granilink.com,POST,/api/vpn/device/register,/api/vpn/device/register,2026-04-03,2026-04-03T13:20:18Z,200,2026-04-03T13:20:18Z,200,9e685eb24f429758
null,null,null,null,ru,176.15.220.74,api.granilink.com,POST,/api/auth/send-code,/api/auth/send-code,2026-04-03,2026-04-03T13:19:45Z,200,2026-04-03T13:19:44Z,200,9e685de0cb66992d
null,null,null,null,ru,176.15.220.74,api.granilink.com,POST,/api/auth/verify-code,/api/auth/verify-code,2026-04-03,2026-04-03T13:20:03Z,200,2026-04-03T13:20:03Z,200,9e685e52cf1d2d71
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/auth/me,/api/auth/me,2026-04-03,2026-04-03T13:20:04Z,200,2026-04-03T13:20:04Z,200,9e685e59eb8e2d71
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:18:44Z,200,2026-04-03T13:18:44Z,200,9e685c655e5d5b06
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:19:14Z,200,2026-04-03T13:19:14Z,200,9e685d223b2ac2a2
null,null,null,null,ru,176.15.220.74,api.granilink.com,POST,/api/auth/send-code,/api/auth/send-code,2026-04-03,2026-04-03T13:19:17Z,499,2026-04-03T13:19:02Z,0,9e685cd9ed57d394
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:18:09Z,200,2026-04-03T13:18:08Z,200,9e685b898a24f562
null,null,null,null,ru,176.15.220.74,api.granilink.com,GET,/api/vpn/bootstrap,/api/vpn/bootstrap,2026-04-03,2026-04-03T13:19:01Z,200,2026-04-03T13:19:01Z,200,9e685ccf8c77d394
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:17:39Z,200,2026-04-03T13:17:39Z,200,9e685acedbb05ac5
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:18:09Z,200,2026-04-03T13:18:09Z,200,9e685b8a6b305b9f
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:17:08Z,200,2026-04-03T13:17:07Z,200,9e685a0c5b499e0f
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:16:03Z,200,2026-04-03T13:16:02Z,200,9e6858756fe73ec1
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:16:30Z,200,2026-04-03T13:16:29Z,200,9e68591f2aad5b91
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:16:33Z,200,2026-04-03T13:16:32Z,200,9e6859323c5c0b0f
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:14:54Z,200,2026-04-03T13:14:53Z,200,9e6856c70dd35aa1
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:14:59Z,200,2026-04-03T13:14:58Z,200,9e6856e52a09c265
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:15:29Z,200,2026-04-03T13:15:28Z,200,9e6857a1ce273248
null,null,null,null,nl,77.83.39.58,granilink.com,GET,/.env,/.env,2026-04-03,2026-04-03T13:14:37Z,200,2026-04-03T13:14:37Z,200,9e68565dc9129f76
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:13:49Z,200,2026-04-03T13:13:48Z,200,9e6855313f2770b0
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:14:21Z,200,2026-04-03T13:14:19Z,200,9e6855f0ef799cca
